video_path,pseudo_label,confidence
/Data/florian.guillaumey/val2/test/video_1000,30,0.544301
/Data/florian.guillaumey/val2/test/video_100051,19,0.455648
/Data/florian.guillaumey/val2/test/video_100065,4,0.431791
/Data/florian.guillaumey/val2/test/video_100078,14,0.299078
/Data/florian.guillaumey/val2/test/video_100121,23,0.814806
/Data/florian.guillaumey/val2/test/video_100164,0,0.714644
/Data/florian.guillaumey/val2/test/video_100187,17,0.312807
/Data/florian.guillaumey/val2/test/video_100195,30,0.785931
/Data/florian.guillaumey/val2/test/video_100218,28,0.702154
/Data/florian.guillaumey/val2/test/video_100219,30,0.309321
/Data/florian.guillaumey/val2/test/video_100237,31,0.685287
/Data/florian.guillaumey/val2/test/video_100249,28,0.243387
/Data/florian.guillaumey/val2/test/video_100288,4,0.878171
/Data/florian.guillaumey/val2/test/video_100315,5,0.438236
/Data/florian.guillaumey/val2/test/video_100347,7,0.848345
/Data/florian.guillaumey/val2/test/video_100445,22,0.197204
/Data/florian.guillaumey/val2/test/video_100461,9,0.646055
/Data/florian.guillaumey/val2/test/video_100490,22,0.533759
/Data/florian.guillaumey/val2/test/video_100530,23,0.886668
/Data/florian.guillaumey/val2/test/video_100557,15,0.487593
/Data/florian.guillaumey/val2/test/video_100566,10,0.672196
/Data/florian.guillaumey/val2/test/video_100581,14,0.468332
/Data/florian.guillaumey/val2/test/video_100599,23,0.716810
/Data/florian.guillaumey/val2/test/video_10064,30,0.737502
/Data/florian.guillaumey/val2/test/video_100656,29,0.388630
/Data/florian.guillaumey/val2/test/video_100766,5,0.602921
/Data/florian.guillaumey/val2/test/video_10077,10,0.430920
/Data/florian.guillaumey/val2/test/video_100827,1,0.603876
/Data/florian.guillaumey/val2/test/video_100837,31,0.697662
/Data/florian.guillaumey/val2/test/video_100865,16,0.612235
/Data/florian.guillaumey/val2/test/video_100879,10,0.804443
/Data/florian.guillaumey/val2/test/video_100889,18,0.203396
/Data/florian.guillaumey/val2/test/video_10090,28,0.602196
/Data/florian.guillaumey/val2/test/video_100934,2,0.444527
/Data/florian.guillaumey/val2/test/video_101005,29,0.895659
/Data/florian.guillaumey/val2/test/video_101012,30,0.708619
/Data/florian.guillaumey/val2/test/video_101046,5,0.927011
/Data/florian.guillaumey/val2/test/video_101051,9,0.206330
/Data/florian.guillaumey/val2/test/video_101062,16,0.850391
/Data/florian.guillaumey/val2/test/video_101174,32,0.285456
/Data/florian.guillaumey/val2/test/video_101183,14,0.489251
/Data/florian.guillaumey/val2/test/video_101229,28,0.695659
